valuation in MM,Name,Website,Description,Growth Score,Mindshare Score,Employee Count,Est. Monthly Uniques,Months Since Last Funding,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Continent,Revenue Range,Business Models,Industries,Keywords
7,PayBox Payment Solutions,http://payboxapp.com,Pay & collect money instantly with your phone. No cash needed - PayBox it instead. Download the iOS or Android app or sign up on PayBoxApp.com today.,236,217,17,269,33,2014,Pre Series A,MassChallenge|MassChallenge UK 2015,100000,6/1/15,,London,London,Europe,,B2C,banking|crowdfunding|e-commerce|finance|mobile|payments|physical storage|storage,payments|social commerce
948,Satoshi Citadel Industries,http://sci.ph,"Satoshi Citadel Industries Inc., is a fintech startup company building the ecosystem for Bitcoin in the Philippines.",149,118,35,731,21,2014,A,Joe Maristela|K Venture Group,100000,6/9/16,,Manila,Manila,Asia,$5M - $10M,B2C,banking|bitcoin|e-commerce|enterprise software|finance|payments,collisionconf2015
16,IncreaseCard,http://increasecard.com,Payment analytics,336,271,62,958,43,2013,Pre Series A,NXTP Labs|Wayra,100000,8/25/14,50000,Buenos Aires,Buenos Aires,South America,,,e-commerce|finance|mobile|payments,payments
1,Bridg,http://bridgtheapp.com,"Bridg(tm) is an advanced consumer to merchant smartphone payment platform
harnessing the power of bluetooth.",-1,0,3,90,27,2013,Pre Series A,500 Startups,100000,12/8/15,100000,Dubai,Dubai,Asia,,B2C|Marketplace,banking|finance|payments,
1,BreadCrumbTracking.com,http://breadcrumbtracking.com,"Paperless timesheets, GPS tracking, scheduling, job management and more for mobile phones, smartphones, tablets and computers. Estimates and invoices, paperless forms, quotes hours worked reports, dispatch, time sheets, job costing, pictures, notes, calendars and more included within cloud-based software. Free trial.",-5,0,2,117,39,2013,Pre Series A,Acceleprise DC Cohort 4|Acceleprise Ventures|StartupChile,100000,12/22/14,30000,Santiago,Santiago,South America,,B2B,consumer services|enterprise software|human resources hr|payments,emerging markets
991,DAVO Technologies,http://davotechnologies.com,DAVO was created to solve the pain points associated with the payor/payee relationship.,-1,-9,10,76,41,2011,Pre Series A,,100000,10/14/14,100000,Portland,Portland,North America,$1M - $5M,B2B,finance|government|human resources hr|payments,small & medium sized business
659,Dinetouch,http://dinetouch.com,The owner of this domain has not yet uploaded their website.,-1,-1,,5,52,,Pre Series A,,100000,11/15/13,100000,Knoxville,Knoxville,North America,$1M - $5M,,food & beverages|mobile|payments,
248663,NeighborGoods,http://neighborgoods.net,Save money and resources by sharing stuff with your friends,-565,-564,1,72255,107,,Pre Series A,,100000,4/1/09,100000,Los Angeles,Los Angeles,North America,$1M - $5M,B2B|B2C,consumer services|payments|physical storage|storage,collaborative consumption|local
23587,CrystalCommerce,http://crystalcommerce.com,Crystal Commerce designs and develops enterprise e-commerce platforms that enable users to launch online stores and more.,45,43,20,399791,93,2006,Pre Series A,,100000,6/10/10,100000,Seattle,Mountlake Terrace,North America,,B2B,payments,
3,ProcureNetworks,http://procurenetworks.com,ProcureNetworks Mission,97,99,0,17,45,,Pre Series A,,100000,6/15/14,100000,Phoenix,Phoenix,North America,,B2B|Marketplace,education|enterprise software|government|payments,charity / non-profit
1,DSL Platform,http://dsl-platform.com,"DSL Platform, DDD, Domain-Driven Design",45,45,3,16,54,2012,Pre Series A,,100000,9/2/13,100000,Croatia,,Europe,,,payments,
6,Paynamics,http://paynamics.com,The company was founded by a group of entrepreneurs with a comprehensive business background in providing internet payment solutions.,73,55,29,38,36,2010,A,Beenos,100000,2/28/15,100000,Philippines,,Asia,,B2C,banking|finance|information security|payments|security,
0,CurrencySpot,http://currencyspot.com.au,"CurrencySpot gives Australians the cheapest, easiest, fastest way to order foreign currency, banknotes and currency cards.",-2,-1,0,22,38,2015,Pre Series A,H2 Ventures,100000,12/31/14,100000,Sydney,Sydney,Oceania,,B2C,banking|finance|payments|travel,
0,Our Security Team,http://oursecurityteam.com,Our Security Teamäó»s is looking to redefine the new era for private security services.,0,0,0,2,45,2014,Pre Series A,,100000,6/3/14,100000,Los Angeles,Long Beach,North America,,Consulting,consumer services|data storage|information security|media|payments|physical security|retail|security|storage,
0,GadgetATM,http://gadgetatm.com,"GadgetATM.com: Paying top dollar for used iphone, ipad, samsung, blackberry. We buy carriers including att, verizon, tmobile, sprint and more. Get your offer now at Gadgeatm.com.",0,0,,2,58,,Pre Series A,Brightahead Ventures,100000,5/7/13,100000,Miami,Miami,North America,,B2B,e-commerce|mobile|payments,ipad|iphone
0,XYverify Corp.,http://xyverify.com,"XYverify enables consumers, businesses, banks and other financial services to reduce costs and fraud around transactions through a cloud computing-based mobile location authentication platform.",-2,-2,1,5,53,2011,Pre Series A,,100000,10/1/13,100000,New York,New York,North America,,B2B,banking|finance|gaming|information security|mobile|payments|security|telecommunications,geolocation|location based services (lbs)
0,HelpMeNow,http://helpme-now.com,Mobile app where people sharing same interests can help each other with local services and advice,0,0,0,7,48,,Pre Series A,,100000,3/29/14,100000,Bay Area,San Francisco,North America,,B2B|B2C,consumer services|mobile|payments,location based services (lbs)|payments
0,FigCard,http://figcard.com,Fig Card allows merchants to accept mobile payments in stores by using aUSB device that plugs into the cash register orPOS terminal.,0,0,,,87,,Exited (acquired),,100000,12/3/10,100000,Boston,Boston,North America,,,e-commerce|mobile|payments|retail,payments
0,PayUsLessRx.com,http://payuslessrx.com,"FREE Discount Health Card saves 25-75% prescription drugs, dental, vision, hearing, pet-vet services - No Cost family plan - save money nationwide",5,5,,2,78,,Pre Series A,,100000,9/12/11,100000,New York,Stony Brook,North America,,B2C,consumer services|e-commerce|healthcare|insurance|payments,
0,Uanbai,http://uanbai.com,"Uanbai is a trading hub, that allows anyone to buy or sell anything on Twitter and Facebook with a One Click solution.",-12,-14,3,160,34,2013,Pre Series A,StartupChile,100000,5/1/15,100000,Santiago,Santiago,South America,,,e-commerce|mobile|payments,payments
890,Pa-Go Mobile,http://pa-gomobile.com,"Pa-Go Mobile promotes financial literacy by delivering mainstream financial products and services over the mobile device, at an affordable",0,0,1,2,101,2009,Pre Series A,,98000,10/9/09,98000,Seattle,Seattle,North America,$5M - $10M,B2B|B2C,e-commerce|finance|mobile|payments,payments|social good
710,DINKlife,http://dinklife.com,"DINKlife is a community and a lifestyle brand providing couples without children with relevant deals, events, and lifestyle media.",-1,0,0,16,77,2010,Pre Series A,,95000,10/1/11,95000,Bay Area,San Francisco,North America,$1M - $5M,B2C|Events,customer support|deals|education|gaming|human resources hr|marketing|payments|travel,content|deals|social media
0,swipe,http://swipeloyalty.com,"Immediate, relevant rewards delivered at the point of purchase",-11,-9,0,4,36,2014,Pre Series A,Bill Moore|Flashpoint Winter 2014|Flashpoint at Georgia Tech,95000,3/10/15,95000,Atlanta,Atlanta,North America,,B2B|B2C,analytics|banking|finance|payments,banking|loyalty / rewards
0,Myze,http://myze.co,MzxiMyze the reward value consumers get when shopping online,-3,-1,0,58,50,2013,Pre Series A,Marco Marinucci|Mind The Bridge,95000,1/3/14,30000,Bay Area,San Francisco,North America,,B2C,e-commerce|finance|mobile|payments,credit cards|deals|payments
1,ServiceRoute,http://serviceroute.com,the property maintenance platform,20,20,1,6,53,2015,Pre Series A,Semyon Dukach,90000,10/1/13,45000,Boston,Boston,North America,,B2B|Marketplace|SaaS,analytics|marketing|marketing analytics|payments,small & medium sized business
1,TableApp,http://tableapp.com,"TableApp help busy diners to make instant reservations at restaurants within Klang Valley, Malaysia.",7,10,3,7564,28,2013,A,500 Startups|Hanson Toh|Kathrein Ventures,78000,11/29/15,,Selangor,Selangor,Asia,,B2C|On-Demand,consumer services|hospitality|mobile|payments|travel,restaurants
1,SGRecX,http://sgrecx.com,SGRecX is a non-bank capital provider offering early payments on accounts receivables.,10,9,3,104,38,2014,Pre Series A,,75608,1/1/15,75608,Singapore,Singapore,Asia,,B2B,banking|finance|payments,
3079,NitroPCR,http://nitropcr.com,NitroPCR is a cloud based mobile application that allows EMS personnel to complete Patient Care Reports (PCRs) on their mobile devices.,13,13,0,47,30,,Pre Series A,,75000,8/27/15,75000,Mobile,Mobile,North America,$1M - $5M,,cloud computing|data storage|healthcare|information security|mobile|payments|security|storage,health & wellness
756,RubyRide,http://rubyride.co,RubyRide is the modern alternative to car rentals and vehicle ownership. Your own personal driver and car at the touch of a button!,-54,-52,7,100,38,2013,Pre Series A,MassChallenge|MassChallenge 2015 Program,75000,1/1/15,,Phoenix,Phoenix,North America,$5M - $10M,B2B|On-Demand|Subscription,automotive|consumer services|mobile|payments|transportation,logistics
10,Greentoe,http://greentoe.com,"Name your price on camera bodies, lenses, bags, pro lighting, photography accessories and more. Our network of authorized retailers is waiting to hear your offer.  No grey market, all USA authorized retailers.",656,655,4,36662,43,2012,Pre Series A,500 Startups|FundersClub|Y Combinator|YC Summer 2014,75000,8/1/14,,Los Angeles,Los Angeles,North America,,B2C|Marketplace,deals|e-commerce|fashion|mobile|payments,hardware
825,Siminars,http://siminars.com,"The best platform to create online courses. Build, publish & distribute highly effective courses fast. Free for life trial version, no monthly commitments",23,23,8,4238,50,2009,Pre Series A,,75000,1/6/14,75000,Austin,Austin,North America,$5M - $10M,B2B,education|enterprise software|marketing|media|payments|publishing|social networking,books|e-book|e-books|education|entertainment
0,Kites Circle Inc.,http://kites.io,Kites.io is available for purchase. Get in touch to discuss the possibilities!,-3,0,1,9,55,2013,Pre Series A,,75000,7/31/13,75000,Los Angeles,Santa Monica,North America,,Consulting|Marketplace,deals|e-commerce|mobile|payments|software development,business intelligence|emerging markets|payments|small & medium sized business|sustainability
13,TabTrader,http://tab-trader.com,Mobile trading terminal for all major cryptocurrency exchanges,752,742,10,207,37,2013,Pre Series A,Rockstart,73800,2/1/15,73800,Amsterdam,Amsterdam,Europe,,B2C,mobile|payments,android
1,MERGIMS corporation,http://mergims.com,"Our platform is the modern way to pay. We are aware that you have a very busy agenda and that you do not want to spend your free time lining up in branches to pay bills, services or products that can be delivered directly to you in your comfortable environment at any given time of the day or night. Therefore, with your suggestions, we are committed to keep enrolling more merchants and services on our platform, so you can enjoy your free time.",25,25,,264,29,,Pre Series A,Africa Angels Network|Jeff Gasana|Pule Taukobong,70000,10/19/15,50000,Rwanda,Rwanda,Africa,,B2C|Marketplace,consumer services|e-commerce|mobile|payments,p2p money transfer|payments
7,Preo,http://getpreo.com,Preo is an application that enables users to order and pay for food and drinks from their smartphones.,45,13,37,209,56,2012,Pre Series A,Columbia University|Dorm Room Fund|First Round Capital|IncWell Venture Capital,70000,6/28/13,50000,New York,New York,North America,,B2B|B2C|On-Demand,consumer services|e-commerce|food & beverages|hospitality|mobile|payments,mobile payments|nightlife|payments|point of sale|restaurants|social media
0,PayAllies,http://payallies.com,PayAllies is a payment system that process cashless transactions leveraging the current widespread mobile technology and a competitive,-1,0,1,12,61,2012,Pre Series A,,70000,2/12/13,70000,Hong Kong,,Asia,,,e-commerce|mobile|payments,emerging markets|payments
1561,Cryptopay,http://cryptopay.me,Buy bitcoins in the UK and Europe and transfer them globally from your bitcoin wallet without using a bank. Use Cryptopay debit card to easily withdraw funds,1157,1119,40,19274,49,2013,Pre Series A,Seedcoin,65000,2/1/14,65000,Saint-Petersburg,Saint-Petersburg,Europe,,B2B,banking|bitcoin|e-commerce|payments,credit cards|payments
1,StadiumPark App,http://stadiumparkapp.com,"StadiumPark is a mobile application which allows users to enter a
stadium/arena parking lot rapidly by opening a parking gate using 3G and 4G
wireless or by scanning a QR code.",-1,-1,3,5,47,2013,Pre Series A,,65000,4/1/14,65000,Rochester,Rochester,North America,,B2C,entertainment|mobile|payments,
17673,Collabspot,http://collabspot.com,Collabspot is a sales email platform that integrates CRM with Gmail.,-19,-23,11,4258,53,2012,Pre Series A,8capita Partners|JFDI.Asia|Kevin Dewalt|Louis Nauges,64000,10/8/13,64000,Singapore,Singapore,Asia,$1M - $5M,,customer support|email|enterprise software|human resources hr|marketing|payments,crm|email|productivity|relationship management|sales
4,Elorus,http://elorus.com,"Elorus is an online invoicing and cash flow management application. When using Elorus you can keep track of your sales & purchases, as well as monitor how your business is doing in terms of cash. Being a web application, Elorus allows access to your data from the office, your home, mobile phone or tablet.",177,168,8,,35,2014,Pre Series A,,60000,4/7/15,60000,Athens,Athens,Europe,,B2B|SaaS,enterprise software|human resources hr|payments,accounting
3,intelworld,http://intelworld.co.ug,"We provide a mobile & online marketplace platform that enables African businesses and their customers to transact anytime, anywhere, anyhow",-30,-30,9,,34,,Pre Series A,Daniel Guasco|Matt Bresler|Paul Rutherford,60000,5/12/15,60000,Kampala,Kampala,Africa,,,banking|finance|payments,
5,ShopKirana,http://shopkirana.com,ShopKirana is an app based platform which helps individual retailers connect directly with suppliers.,158,135,12,8798,15,2014,Pre Series A,Anil Gelra|Atul Jain|Incubate Fund|Jaikumar Nair,60000,12/23/16,,Indore,Indore,Asia,,B2B,e-commerce|food & beverages|mobile|payments,logistics
1,Klaseko,http://klaseko.com,"Even if business hours are over, you can still accept enrolments and payments.
Through Klaseko, your students have 24/7 access to your school",22,17,6,23,50,2014,Pre Series A,Entrepreneurs' Organization,60000,1/1/14,60000,Legaspi,Legaspi,Asia,,B2C,banking|e-commerce|education|payments,payments
0,GnamGnam,http://gnamgnamapp.com,Waiting sucks,0,0,,1,44,,Pre Series A,Giorgio Di Stefano,60000,7/1/14,50000,New York,New York,North America,,B2C,e-commerce|food & beverages|mobile|payments,location based services (lbs)
929,My Open Road,http://myopenroad.com,"My Open Road mobile app is a FREE revolutionary, new, social energy conservation game for smartphones. It helps fight climate change by rewarding users for socially competing with their friends to use the most energy efficient means in their day-to-day travels and reduce their carbon footprint. ",0,0,3,4,50,2011,Pre Series A,,60000,1/7/14,60000,Los Angeles,Aliso Viejo,North America,$1M - $5M,B2C,automotive|energy|mobile|payments|travel,
5,Cardable,http://getcardable.com,"Get the best promotions across all credit cards in Singapore. Enjoy great dining deals, buffet, 1-for-1, hotel and shopping discounts with DBS, OCBC, UOB, Citi, AMEX, Maybank and HSBC credit cards.",264,252,8,61,24,2014,Pre Series A,Muru-D,59000,3/1/16,29000,Singapore,Singapore,Asia,,B2C,banking|consumer services|e-commerce|mobile|payments,
0,Ringpay,http://ringpay.com,"Ringpay is looking to create disruption through equality of opportunity - you don't need to have an expensive merchant agreement to be a vendor and take card payments, with Ringpay all you need is a smartphone - ""mobile payments for everyone"" will level the playing field for smaller providers.",-2,0,1,12,46,2013,Pre Series A,Level39,55000,5/1/14,55000,London,London,Europe,,B2C,banking|e-commerce|mobile|payments,payments
807,Dlyte.com,http://dlyte.com,"Choose gift cards from over 500 retailers, use them for your everyday shopping, and earn donations for your favorite charity.",4,-1,6,6647,76,2014,Pre Series A,,55000,11/15/11,55000,Los Angeles,Beverly Hills,North America,$5M - $10M,B2B|B2C,e-commerce|marketing|mobile|payments|retail,brand marketing
1080,BoxFox,http://boxfox.co,BoxFox is a B2B marketplace that hosts surplus inventory auctions for independent retailers to sell excess inventory to a network of authorized buyers.,410,409,6,15923,32,2012,Pre Series A,,54000,7/8/15,54000,Indianapolis,Indianapolis,North America,,Marketplace,analytics|e-commerce|payments|retail,
3,bizsol,http://bizsol.co,Home Design - Home Decorating,125,122,4,48,85,2011,Pre Series A,,50000,2/1/11,50000,Chennai,Chennai,Asia,,B2B,payments,big data|crm|productivity|relationship management|social crm
3,StockBet,http://stockbet.com,"We're going on the BLOCKCHAIN! Be notified of our TOKEN SALE! Enabling the world to play the stock market! Compete against friends and others based on stocks in New York, London, Toronto, Paris and Frankfurt! Go toe to toe.  Stocks made fun!",110,110,,66,42,,Pre Series A,,50000,8/27/14,50000,Toronto,Toronto,North America,,B2C,gaming|mobile|payments,gambling|social media
-1,BrakeQuotes.com,http://brakequotes.com,Get Instant Quotes for Brake Service & Book Onsite Appointment In Seconds.,-30,-30,,36,49,,Pre Series A,,50000,2/1/14,50000,Sanibel,Sanibel,North America,,B2C|Marketplace,automotive|consumer services|payments,
0,Visual Factory Latin America,http://vfactory.com.ar,"A complete end to end solution to create, distribute, validate & redeem mobile coupons at the POS in real time",-2,-2,2,2,51,2005,Pre Series A,,50000,12/1/13,50000,Buenos Aires,Buenos Aires,South America,,B2C,analytics|consumer electronics|hardware|marketing|marketing analytics|mobile|payments|retail,coupons|location based services (lbs)|loyalty / rewards
10846,Skip,http://goskip.com,"The fastest way out of the grocery store. Scan your stuff with your phone, then just go home. No more lines.",63,41,10,9,31,2014,Pre Series A,Class of 2015|The Brandery,50000,8/1/15,50000,Bay Area,San Francisco,North America,$1M - $5M,B2C,consumer services|e-commerce|mobile|payments|retail,payments
20,ProspectStream,http://prospectstream.com,"Using business rules to leverage your best practices, our breakthrough technology organizes and optimizes your sales process, prompts your next move, and tracks your success.",32,7,33,3,122,2008,Pre Series A,,50000,1/1/08,50000,Cincinnati,Cincinnati,North America,$25M - $50M,B2B|SaaS,enterprise software|finance|insurance|marketing|payments,crm|manufacturing |productivity|relationship management|small & medium sized business
129,Filmzu,http://filmzu.com,Filmzu is an online technology company enabling filmmakers and fans to interact in creating and discovering new video content.,0,0,2,1713,66,2014,Pre Series A,IT Ventures,50000,9/10/12,50000,Los Angeles,Santa Monica,North America,,Advertising|B2B|B2C|Marketplace,advertising|enterprise software|entertainment|marketing|media|payments,brand marketing|film|payments|social media marketing|video
0,fleecs.ru,http://fleecs.ru,Electronic system for fuel payments,0,0,,,74,,Pre Series A,,50000,1/1/12,50000,Russian Federation,,Europe,,,payments|physical security|security,
0,Ripula Gateway,http://ripula.co.uk,GBP-denominated Ripple gateway and developing payment platform.,1,1,0,19,36,2014,Pre Series A,,50000,3/13/15,50000,London,London,Europe,,B2C,analytics|banking|e-commerce|finance|mobile|payments,
0,CartPayCo,http://cartpay.co,CartPay äóñ smart shopping carts for retailers that allows their customers to pay for all things in a cart instantly.,0,0,1,15,36,2014,Pre Series A,Founder Institute,50000,3/12/15,50000,Saint Petersburg,Saint Petersburg,Europe,,B2C,payments|retail,
0,Take5,http://take5.mobi,Take5.mobi - Create mobile business card and save forrest,0,0,,7,64,,Pre Series A,,50000,11/12/12,50000,Russian Federation,,Europe,,SaaS,mobile|payments,productivity
919,TextHog,http://texthog.com,Track your expenses online. Text your way to the bank.,0,0,1,2,119,,Pre Series A,,50000,4/15/08,50000,Chicago,Chicago,North America,$1M - $5M,B2B,finance|mobile|payments,
242,Vaultoro J.Scigala,http://vaultoro.com,Vaultoro enables anyone around the world to instantly invest in assigned gold bullion secured in the largest private Swiss Vaulting facility,243,235,4,11347,6,2015,Pre Series A,Berlin 2017 Q1|FinLab AG|Max Keiser|Simon Dixon|Techstars,50000,9/22/17,,Berlin,Berlin,Europe,,B2B,bitcoin|data storage|finance|information security|payments|physical security|security|storage,
-2098,inCast,http://incast.com.br,InCast connects entertainment industry talent with job opportunities in Brazil.,-35,-41,6,571,49,2014,Pre Series A,,50000,2/13/14,50000,Bay Area,San Francisco,North America,$1M - $5M,B2B|Marketplace,career / job search|cleantech|entertainment|mobile|payments|wind power,payments|recruiting
39,Bitcoin Marketplace,http://bitcoin.co.id,Bitcoin.co.id is the Biggest Indonesia Bitcoin Exchange that act as bitcoin's backbone for the entire finance ecosystem in Indonesia,2071,1757,47,406553,4,2014,Pre Series A,East Ventures,50000,11/23/17,,Indonesia,,Asia,,,bitcoin|finance|payments,
9786,Jersey Watch,http://jerseywatch.com,"Jersey Watch is a free and easy way for a sports team, league or tournament to manage a website, registration, payments, and communication.",37,38,8,1751,31,2012,Pre Series A,Class of 2015|The Brandery,50000,8/1/15,50000,Athens,Athens,North America,$1M - $5M,B2B|B2C,advertising|e-commerce|enterprise software|entertainment|human resources hr|media|payments,sports
4,Fuelzee,http://fuelzee.com,"Looking for cheap gas prices? Use Fuelzee to find the best gas prices near me. Uou can search for gas prices in your zip code, city, state or exact address.",-121,-122,2,715,55,2012,Pre Series A,,50000,8/8/13,50000,Orlando,Orlando,North America,,B2B,consumer services|energy|marketing|mobile|payments|space travel|travel,android|gamification|ios|loyalty / rewards
205,mYwindow,http://mywindow.me,Accept payments in seconds with just a link,-15,-13,5,3465,64,2012,Pre Series A,,50000,11/20/12,50000,Maharastra,Maharastra,Asia,,B2C|Marketplace,e-commerce|mobile|payments|search|social networking,family|payments|search engine|social commerce|ticketing
39,Dark Wallet,http://darkwallet.is,Darkwallet is an open source digital wallet that empowers you to secure your privacy and protect your integrity.,-70,-70,,790,46,,Pre Series A,,50000,4/29/14,50000,Iceland,,Europe,,,bitcoin|information security|payments|security,
0,CLINC,http://clincshop.com,Mobile Commerce Platform,0,0,,293,43,2014,Pre Series A,,50000,8/20/14,50000,Buenos Aires,Buenos Aires,South America,,B2C,e-commerce|gaming|mobile|payments|retail,payments
168,Orderbolt,http://orderbolt.com,orderace is a developer of mobile ordering and payment applications optimized for smartphones.,-4,-1,1,2,74,2011,Pre Series A,Benjamin Wasson|Robert Fox|Southern Illinois University|Thomas Harness,48501,1/22/12,48501,Carbondale,Carbondale,North America,$1M - $5M,B2B,e-commerce|mobile|payments,location based services (lbs)|payments|point of sale
0,Money Toolkit,http://moneytoolkit.com,Money Toolkit is a mobile banking and online budgeting application.,-2,-2,,27,84,2010,Pre Series A,Fubra,47600,3/15/11,47600,Aldershot,Aldershot,Europe,,B2C,banking|finance|payments,android|iphone
0,Georgetown Automation Systems Inc.,http://flexspot.co,"Airbnb for parking spots, which lets you rent out and make money on your parking spots when theyre free",1,1,,7,41,,Pre Series A,,47500,10/8/14,47500,Washington D.C.,Washington D.C.,North America,,B2B,automotive|payments,sustainability|travel
0,SimpleDeal,http://simpledealapp.com,"SimpleDeal is a mobile app providing users with information on restaurant hours, menus, and instantly redeemable deals.",-1,-1,1,9,51,2013,Pre Series A,,47500,11/27/13,47500,Los Angeles,Seal Beach,North America,,On-Demand,advertising|consumer services|deals|e-commerce|food & beverages|hospitality|marketing|mobile|payments,deals|mobile advertising|restaurants
10145,Ridango,http://ridango.com,"Ridango is an international provider of transit ticketing and RTPI solutions - mobile ticketing, open loop EMV ticketing, QR ticketing, account based ticketing, real-time passenger information etc.",57,29,37,63,42,2009,Pre Series A,,46000,9/3/14,46000,Tallinn,Tallinn,Europe,$1M - $5M,,payments|travel,ticketing
1,Volance,http://volance.com,"Volance offers affordable, enterprise class fraud detection solutions for merchants big and small.",1,0,2,3,103,,Pre Series A,,45000,8/11/09,45000,Chicago,Chicago,North America,,B2B,information security|payments|security,
0,Prezto,http://preztoapp.com,Gift givers to immediately and remotely,0,0,,2,51,,Pre Series A,LaunchHouse,45000,12/1/13,25000,Cleveland,Cleveland,North America,,B2C,consumer services|e-commerce|food & beverages|mobile|payments|social networking,
9453,Spoonity,http://spoonity.com,Retain your best customers & attract new ones with your own mobile loyalty app. Build a rewards program for your restaurant & start engaging your customers.,53,49,11,51,67,2011,Pre Series A,,44000,7/30/12,24000,Ottawa,Ottawa,North America,$1M - $5M,,analytics|customer support|finance|hospitality|marketing|payments,loyalty / rewards|near field communication (nfc)|performance marketing|restaurants|social media marketing
0,Buckworm.com,http://buckworm.com,Buckworm builds mobile apps for schools and nonprofits (SNP's) so they can better communicate and engage their supporters!  Supporters can easily connect and love that through the savings function on their SNP's app or by simply using their credit/debit card they can save money at stores and restaurants which in turn supports their favorite SNP! \n\nBusinesses love how they can now directly access millions of consumers at no cost while supporting SNP's!,-2,-2,0,16,41,2013,Pre Series A,,42000,10/4/14,42000,Miami,Deerfield Beach,North America,,,education|mobile|payments,
7,Bitspark,http://bitspark.io,Bitspark is a leading Crypto-Financial services provider for the APAC region. Bitspark has pioneered the worldäó»s first blockchain powered end to end Remittance service in addition to a Blockchain auditable feature rich trading exchange.,352,344,10,599,35,2014,Pre Series A,Cyberport Hong Kong,41000,4/8/15,,Hong Kong,,Asia,,B2B,bitcoin|finance|information security|payments|security,payments
7014,IDOS,http://myidos.com,IDOS is a accounting software which is very simple to use. It comes with in-built compliance and enables real-time internal audit.,38,15,27,39,45,2014,Pre Series A,Microsoft Ventures|StartupChile,40000,5/30/14,40000,Arlington,Arlington,North America,$1M - $5M,B2B,payments,
10296,Student Loan Hero,http://studentloanhero.com,Student Loan Hero is your destination for managing & eliminating student loans & personal debt. Find everything from loan calculators to repayment options.,448,393,63,100401,67,2012,Pre Series A,Expansion Venture Capital|StartupChile,40000,8/22/12,40000,Austin,Austin,North America,$1M - $5M,,banking|e-commerce|education|finance|payments,college students
1,Rentables,http://rentables.com,"Rentables is the simplest way to run your residential property management business. Automated bookkeeping takes the pain out of accounting compliance and our payment solutions make collecting rent and paying your owners a breeze. Affordable property management software for rental property managers, owners and landlords.",-12,-12,3,84,45,2012,Pre Series A,,40000,6/18/14,40000,Simi Valley,Simi Valley,North America,,B2B|SaaS,enterprise software|finance|payments|real estate,accounting|payments|productivity|property management|rental housing
0,Sentropi,http://sentropi.com,"Sentropi is an online protection solution against charge backs, account takeovers, identity thefts and online scams.",9,9,,62,55,,Pre Series A,,40000,8/23/13,40000,Ahmedabad,Ahmedabad,Asia,,B2B,information security|payments|security,
645,BeanJockey,http://beanjockey.com,"BeanJockey is a powerful financial web application that determines the best way to repay and optimize debt repayment of student loans,",-1,-1,0,2,55,2012,Pre Series A,,40000,8/23/13,40000,Greenville,Greenville,North America,$1M - $5M,B2C,banking|finance|payments,
0,Mas Con Movil,http://masconmovil.com,Mobile Sales Solutions,0,0,,13,71,,Pre Series A,,40000,4/11/12,40000,,,,,,payments,
1,Zuldi,http://zuldi.co,ZULDI - Solutions for Oracle MICROS RES 3700 Point of Sale - Mobile Tablets - Cloud Reports,-1,-1,6,9,57,2012,Pre Series A,,40000,6/12/13,20000,Las Vegas,Las Vegas,North America,,B2B,analytics|enterprise software|hospitality|mobile|payments,big data|payments
0,FlyFishingHunter,http://flyfishinghunter.com,"Flyfishinghunter.com an internet web platform, where fly fishing lodges can sell their programs in an effective way, providing them the",-1,-1,,2,69,,Pre Series A,,40000,6/27/12,40000,Bay Area,San Francisco,North America,,B2C,hospitality|payments|travel,adventure travel|social travel|tourism
0,CrowdTransfer,http://crowdtransfer.com,Send Money Abroad cheaper and faster than with Banks.,-2,-2,1,14,45,2014,Pre Series A,,40000,6/1/14,40000,Santiago Chile,Santiago Chile,South America,,B2B,banking|finance|payments|social networking,p2p|p2p money transfer
0,PagaTuAlquiler,http://pagatualquiler.com,Property and Payment Management,0,0,0,3,80,,Pre Series A,,40000,7/20/11,40000,Mendoza,Mendoza,South America,,,payments|real estate,payments|property management
924,Voltaic Coatings,http://voltaiccoatings.com,"voltaiccoatings.com is your first and best source for all of the information you're looking for. From general topics to more of what you would expect to find here, voltaiccoatings.com has it all. We hope you find what you are searching for!",0,0,0,3,67,2011,Pre Series A,,40000,8/10/12,40000,Newark,Newark,North America,$1M - $5M,B2C,cleantech|hardware|payments|solar power,consumer electronics|solar
977,Biletu,http://biletu.com,"Find Cash Advance, Debt Consolidation and more at Biletu.com. Get the best of Insurance or Free Credit Report, browse our section on Cell Phones or learn about Life Insurance. Biletu.com is the site for Cash Advance.",0,0,0,13,61,2011,Pre Series A,Startup Wise Guys|Startup Wise Guys Winter 2013|StartupChile,40000,2/1/13,,Providencia,Providencia,South America,$1M - $5M,Events,e-commerce|marketing|mobile|payments|social networking|travel,chat|payments
0,The Rapp IT Up Wireless Security Company,http://rappitup.co,Stop Identity theft is seconds!,-6,-6,,23,50,,Pre Series A,,40000,12/31/13,40000,Phoenix,Mesa,North America,,B2B,hardware|hardware peripherals|information security|payments|physical security|security|telecommunications,
3275,JumpSeller,http://jumpseller.com,Professional ecommerce solution to create your online store. Start selling online today!,-46,-46,,33618,88,,Pre Series A,,40000,11/18/10,40000,Porto,Porto,Europe,,B2B|B2C,e-commerce|payments,
